Suositeltu yleiskielinen nimi	Tieteellinen nimi	Uhanalaisuusluokka	Tunniste	Suomenkielinen nimi
siloviherhius	Urospora penicilliformis	DD (2019)	MX.213285	siloviherhius
leveävyörihma	Ulothrix zonata	LC (2019)	MX.254293	leveävyörihma
velttovyörihma	Ulothrix flacca	DD (2019)	MX.292244	velttovyörihma
rentovyörihma	Ulothrix subflaccida	DD (2019)	MX.292245	rentovyörihma
keijunvyörihma	Ulothrix tenerrima	DD (2019)	MX.292246	keijunvyörihma
kuultoputkilevä	Capsosiphon fulvescens	DD (2019)	MX.292241	kuultoputkilevä
huopavihertupsu	Spongomorpha aeruginosa	DD (2019)	MX.292243	huopavihertupsu
tötterösalaattilevä	Monostroma grevillei	DD (2019)	MX.213280	tötterösalaattilevä
itämerensalaattilevä	Monostroma balticum	LC (2019)	MX.292237	itämerensalaattilevä
mukulanäkinparta	Chara aspera	LC (2019)	MX.206704	mukulanäkinparta
	Chara aspera var. subinermis	LC (2019)	MX.5083186	
itämerennäkinparta	Chara baltica	LC (2019)	MX.213294	itämerennäkinparta
	Chara baltica var. breviaculeata	LC (2019)	MX.5083205	
	Chara baltica var. liljebladii	LC (2019)	MX.5083206	
silonäkinparta	Chara braunii	VU (2019)	MX.213295	silonäkinparta
karvanäkinparta	Chara canescens	LC (2019)	MX.213297	karvanäkinparta
suppunäkinparta	Chara connivens	NA (2019)	MX.292252	suppunäkinparta
harmaanäkinparta	Chara contraria	CR (2019)	MX.292253	harmaanäkinparta
hapranäkinparta	Chara globularis	LC (2019)	MX.213298	hapranäkinparta
piikkinäkinparta	Chara horrida	EN (2019)	MX.292254	piikkinäkinparta
kalkkinäkinparta	Chara papillosa	NT (2019)	MX.292255	kalkkinäkinparta
pohjannäkinparta	Chara strigosa	NT (2019)	MX.292256	pohjannäkinparta
punanäkinparta	Chara tomentosa	LC (2019)	MX.213299	punanäkinparta
sironäkinparta	Chara virgata	LC (2019)	MX.292258	sironäkinparta
järvisiloparta	Nitella flexilis	LC (2019)	MX.213319	järvisiloparta
kalvassiloparta	Nitella hyalina	VU (2019)	MX.213320	kalvassiloparta
tupsusiloparta	Nitella wahlbergiana	LC (2019)	MX.213321	tupsusiloparta
tummasiloparta	Nitella confervacea	NT (2019)	MX.292262	tummasiloparta
hentosiloparta	Nitella gracilis	VU (2019)	MX.292265	hentosiloparta
hauensiloparta	Nitella opaca	LC (2019)	MX.292267	hauensiloparta
tähtimukulaparta	Nitellopsis obtusa	NT (2019)	MX.213323	tähtimukulaparta
merisykeröparta	Tolypella nidifica	LC (2019)	MX.213325	merisykeröparta
tunturisykeröparta	Tolypella canadensis	NT (2019)	MX.292269	tunturisykeröparta
sarvisammal	Anthoceros agrestis	LC (2019)	MX.44397	sarvisammal
puikkosammal	Phaeoceros carolinianus	CR (2019)	MX.44399	puikkosammal
lapinkarstasammal	Andreaea alpina	LC (2019)	MX.43787	lapinkarstasammal
pohjankarstasammal	Andreaea alpestris	DD (2019)	MX.43783	pohjankarstasammal
tunturikarstasammal	Andreaea blyttii	VU (2019)	MX.43784	tunturikarstasammal
suonikarstasammal	Andreaea crassinervia	LC (2019)	MX.43785	suonikarstasammal
lumikarstasammal	Andreaea nivalis	EN (2019)	MX.43786	lumikarstasammal
etelänkarstasammal	Andreaea rothii	LC (2019)	MX.43788	etelänkarstasammal
kalliokarstasammal	Andreaea rupestris	LC (2019)	MX.43789	kalliokarstasammal
nuppihuopasammal	Aulacomnium androgynum	LC (2019)	MX.43804	nuppihuopasammal
suonihuopasammal	Aulacomnium palustre	LC (2019)	MX.43805	suonihuopasammal
tunturihuopasammal	Aulacomnium turgidum	LC (2019)	MX.43806	tunturihuopasammal
pahtaomenasammal	Bartramia halleriana	LC (2019)	MX.43809	pahtaomenasammal
kiilto-omenasammal	Bartramia ithyphylla	LC (2019)	MX.43810	kiilto-omenasammal
kallio-omenasammal	Bartramia pomiformis	LC (2019)	MX.43811	kallio-omenasammal
särmäsammal	Conostomum tetragonum	LC (2019)	MX.43507	särmäsammal
ojalähdesammal	Philonotis caespitosa	NE (2019)	MX.43759	ojalähdesammal
kalkkilähdesammal	Philonotis calcarea	EN (2019)	MX.43760	kalkkilähdesammal
pikkulähdesammal	Philonotis capillaris	NE (2019)	MX.200502	pikkulähdesammal
purolähdesammal	Philonotis fontana	LC (2019)	MX.43761	purolähdesammal
särmälähdesammal	Philonotis seriata	LC (2019)	MX.43762	särmälähdesammal
kalliolähdesammal	Philonotis tomentella	DD (2019)	MX.43763	kalliolähdesammal
nipponinlähdesammal	Philonotis yezoana	CR (2019)	MX.323621	nipponinlähdesammal
pallosammal	Plagiopus oederianus	LC (2019)	MX.43884	pallosammal
	Plagiopus oederianus var. oederianus	LC (2019)	MX.317277	
kuirikurusammal	Anomobryum julaceum	CR (2019)	MX.43791	kuirikurusammal
itukurusammal	Anomobryum concinnatum	CR (2019)	MX.4999306	itukurusammal
hopeahiirensammal	Bryum argenteum	LC (2019)	MX.43839	hopeahiirensammal
kirjohiirensammal	Bryum dichotomum	LC (2019)	MX.200505	kirjohiirensammal
kuparihiirensammal	Bryum klinggraeffii	LC (2019)	MX.43452	kuparihiirensammal
lusikkahiirensammal	Bryum marratii	CR (2019)	MX.43456	lusikkahiirensammal
kielihiirensammal	Bryum oblongum	DD (2019)	MX.43461	kielihiirensammal
violettihiirensammal	Bryum violaceum	LC (2019)	MX.43473	violettihiirensammal
valumahiirensammal	Imbribryum alpinum	LC (2019)	MX.43836	valumahiirensammal
tammihiirensammal	Imbribryum mildeanum	DD (2019)	MX.43457	tammihiirensammal
tupashiirensammal	Imbribryum muehlenbeckii	NE (2019)	MX.43458	tupashiirensammal
rusonystyhiirensammal	Imbribryum subapiculatum	LC (2019)	MX.200478	rusonystyhiirensammal
hentohiirensammal	Imbribryum tenuisetum	LC (2019)	MX.43470	hentohiirensammal
lapinhiirensammal	Ptychostomum arcticum	LC (2019)	MX.43838	lapinhiirensammal
karvahiirensammal	Ptychostomum capillare	LC (2019)	MX.43843	karvahiirensammal
kosteikkohiirensammal	Ptychostomum cernuum	VU (2019)	MX.43472	kosteikkohiirensammal
heilurihiirensammal	Ptychostomum compactum	LC (2019)	MX.43835	heilurihiirensammal
	Ptychostomum compactum var. rutheanum	LC (2019)	MX.325093	
sorahiirensammal	Ptychostomum creberrimum	LC (2019)	MX.43844	sorahiirensammal
verihiirensammal	Ptychostomum cryophilum	CR (2019)	MX.43845	verihiirensammal
luhtahiirensammal	Ptychostomum cyclophyllum	LC (2019)	MX.43846	luhtahiirensammal
pahtaseitasammal	Ptychostomum demissum	CR (2019)	MX.43767	pahtaseitasammal
sirohiirensammal	Ptychostomum elegans	LC (2019)	MX.43448	sirohiirensammal
savikkohiirensammal	Ptychostomum imbricatulum	LC (2019)	MX.43842	savikkohiirensammal
nuokkuhiirensammal	Ptychostomum inclinatum	LC (2019)	MX.43837	nuokkuhiirensammal
karttuhiirensammal	Ptychostomum intermedium	LC (2019)	MX.213421	karttuhiirensammal
seitahiirensammal	Ptychostomum nitidulum	EN (2019)	MX.213422	seitahiirensammal
järvihiirensammal	Ptychostomum knowltonii	DD (2019)	MX.43453	järvihiirensammal
pitkäperähiirensammal	Ptychostomum longisetum	EN (2019)	MX.43454	pitkäperähiirensammal
rihmahiirensammal	Ptychostomum moravicum	LC (2019)	MX.214710	rihmahiirensammal
rusohiirensammal	Ptychostomum pallens	LC (2019)	MX.43462	rusohiirensammal
kalvashiirensammal	Ptychostomum pallescens	LC (2019)	MX.43463	kalvashiirensammal
lettohiirensammal	Ptychostomum pseudotriquetrum	LC (2019)	MX.43464	lettohiirensammal
	Ptychostomum pseudotriquetrum var. bimum	LC (2019)	MX.325014	
	Ptychostomum pseudotriquetrum var. pseudotriquetrum	LC (2019)	MX.325018	
purppurahiirensammal	Ptychostomum rubens	LC (2019)	MX.43466	purppurahiirensammal
merihiirensammal	Ptychostomum salinum	VU (2019)	MX.43468	merihiirensammal
valjuhiirensammal	Ptychostomum turbinatum	VU (2019)	MX.43471	valjuhiirensammal
päärynähiirensammal	Ptychostomum warneum	CR (2019)	MX.43474	päärynähiirensammal
hetehiirensammal	Ptychostomum weigelii	LC (2019)	MX.43475	hetehiirensammal
napahiirensammal	Ptychostomum wrightii	CR (2019)	MX.43476	napahiirensammal
lapinseitasammal	Ptychostomum zieri	EN (2019)	MX.214674	lapinseitasammal
kalkkiruusukesammal	Rhodobryum ontariense	CR (2019)	MX.43978	kalkkiruusukesammal
lehtoruusukesammal	Rhodobryum roseum	LC (2019)	MX.43979	lehtoruusukesammal
lettokilpisammal	Cinclidium stygium	LC (2019)	MX.43497	lettokilpisammal
luhtakilpisammal	Cinclidium subrotundum	LC (2019)	MX.43498	luhtakilpisammal
kurulehväsammal	Cyrtomnium hymenophylloides	LC (2019)	MX.43517	kurulehväsammal
tunturilehväsammal	Cyrtomnium hymenophyllum	EN (2019)	MX.43518	tunturilehväsammal
nuokkukiisusammal	Mielichhoferia elongata	CR (2019)	MX.43707	nuokkukiisusammal
kuparikiisusammal	Mielichhoferia mielichhoferiana	CR (2019)	MX.200454	kuparikiisusammal
paljakkalehväsammal	Mnium blyttii	VU (2019)	MX.43708	paljakkalehväsammal
soukkalehväsammal	Mnium hornum	LC (2019)	MX.43709	soukkalehväsammal
purolehväsammal	Mnium lycopodioides	NT (2019)	MX.43710	purolehväsammal
kaihelehväsammal	Mnium marginatum	LC (2019)	MX.43711	kaihelehväsammal
otalehväsammal	Mnium spinosum	VU (2019)	MX.43712	otalehväsammal
sinilehväsammal	Mnium stellare	LC (2019)	MX.43713	sinilehväsammal
kalkkilehväsammal	Mnium thomsonii	LC (2019)	MX.43714	kalkkilehväsammal
lehtolehväsammal	Plagiomnium affine	LC (2019)	MX.43875	lehtolehväsammal
pohjanlehväsammal	Plagiomnium curvatulum	VU (2019)	MX.43876	pohjanlehväsammal
metsälehväsammal	Plagiomnium cuspidatum	LC (2019)	MX.43877	metsälehväsammal
idänlehväsammal	Plagiomnium drummondii	VU (2019)	MX.43878	idänlehväsammal
tihkulehväsammal	Plagiomnium elatum	LC (2019)	MX.43879	tihkulehväsammal
korpilehväsammal	Plagiomnium ellipticum	LC (2019)	MX.43880	korpilehväsammal
isolehväsammal	Plagiomnium medium	LC (2019)	MX.43881	isolehväsammal
nokkalehväsammal	Plagiomnium rostratum	VU (2019)	MX.43882	nokkalehväsammal
poimulehväsammal	Plagiomnium undulatum	LC (2019)	MX.43883	poimulehväsammal
nuppuvarstasammal	Pohlia andalusica	LC (2019)	MX.43906	nuppuvarstasammal
paljakkavarstasammal	Pohlia andrewsii	EN (2019)	MX.43907	paljakkavarstasammal
jyväsvarstasammal	Pohlia annotina	LC (2019)	MX.43908	jyväsvarstasammal
kääpiövarstasammal	Pohlia atropurpurea	CR (2019)	MX.43909	kääpiövarstasammal
silmuvarstasammal	Pohlia bulbifera	LC (2019)	MX.43910	silmuvarstasammal
ituvarstasammal	Pohlia camptotrachela	LC (2019)	MX.43911	ituvarstasammal
hohtovarstasammal	Pohlia cruda	LC (2019)	MX.43912	hohtovarstasammal
pahtavarstasammal	Pohlia crudoides	VU (2019)	MX.43913	pahtavarstasammal
pohjanvarstasammal	Pohlia drummondii	LC (2019)	MX.43914	pohjanvarstasammal
pitkävarstasammal	Pohlia elongata	LC (2019)	MX.43915	pitkävarstasammal
	Pohlia elongata var. acuminata	LC (2019)	MX.323501	
	Pohlia elongata var. greenii	LC (2019)	MX.323502	
	Pohlia elongata var. elongata	LC (2019)	MX.325085	
lumivarstasammal	Pohlia erecta	CR (2019)	MX.43916	lumivarstasammal
vuorivarstasammal	Pohlia filum	LC (2019)	MX.43917	vuorivarstasammal
pikkuvarstasammal	Pohlia lescuriana	LC (2019)	MX.43918	pikkuvarstasammal
isovarstasammal	Pohlia longicolla	LC (2019)	MX.200456	isovarstasammal
tunturivarstasammal	Pohlia ludwigii	EN (2019)	MX.43920	tunturivarstasammal
rusovarstasammal	Pohlia melanodon	NT (2019)	MX.43921	rusovarstasammal
nuokkuvarstasammal	Pohlia nutans	LC (2019)	MX.43922	nuokkuvarstasammal
lapinvarstasammal	Pohlia obtusifolia	VU (2019)	MX.43923	lapinvarstasammal
törmävarstasammal	Pohlia proligera	LC (2019)	MX.43924	törmävarstasammal
rahkavarstasammal	Pohlia sphagnicola	VU (2019)	MX.43925	rahkavarstasammal
kultavarstasammal	Pohlia vexans		MX.5111101	kultavarstasammal
hetevarstasammal	Pohlia wahlenbergii	LC (2019)	MX.43926	hetevarstasammal
	Pohlia wahlenbergii var. glacialis	LC (2019)	MX.323506	
	Pohlia wahlenbergii var. wahlenbergii	LC (2019)	MX.325010	
kiiltolehväsammal	Pseudobryum cinclidioides	LC (2019)	MX.43941	kiiltolehväsammal
napalehväsammal	Rhizomnium andrewsianum	CR (2019)	MX.43973	napalehväsammal
hentolehväsammal	Rhizomnium gracile	CR (2019)	MX.43974	hentolehväsammal
lähdelehväsammal	Rhizomnium magnifolium	LC (2019)	MX.43975	lähdelehväsammal
lettolehväsammal	Rhizomnium pseudopunctatum	LC (2019)	MX.43976	lettolehväsammal
kilpilehväsammal	Rhizomnium punctatum	LC (2019)	MX.43977	kilpilehväsammal
kiviharmosammal	Hedwigia ciliata	LC (2019)	MX.43645	kiviharmosammal
	Hedwigia ciliata var. ciliata	LC (2019)	MX.313325	
turkkiharmosammal	Hedwigia emodica		MX.313326	turkkiharmosammal
vanuharmosammal	Hedwigia mollis		MX.5076984	vanuharmosammal
tähtiharmosammal	Hedwigia stellata	DD (2019)	MX.43646	tähtiharmosammal
lehtoritvasammal	Amblystegium serpens	LC (2019)	MX.43777	lehtoritvasammal
suippuväkäsammal	Campyliadelphus chrysophyllus	LC (2019)	MX.43486	suippuväkäsammal
rantaväkäsammal	Campyliadelphus elodes	NT (2019)	MX.43487	rantaväkäsammal
ruskopalmikkosammal	Campylium bambergeri	VU (2019)	MX.43671	ruskopalmikkosammal
pohjanväkäsammal	Campylium laxifolium	EN (2019)	MX.43488	pohjanväkäsammal
lehtoväkäsammal	Campylium protensum	LC (2019)	MX.43489	lehtoväkäsammal
lettoväkäsammal	Campylium stellatum	LC (2019)	MX.43490	lettoväkäsammal
kalkkiharasammal	Campylophyllopsis calcarea	LC (2019)	MX.43491	kalkkiharasammal
kantoharasammal	Campylophyllopsis sommerfeltii	LC (2019)	MX.43493	kantoharasammal
pohjanharasammal	Campylophyllum halleri	VU (2019)	MX.43492	pohjanharasammal
puroharasammal	Campylophyllum montanum	CR (2019)	MX.200500	puroharasammal
sirkansammal	Conardia compacta	CR (2019)	MX.43506	sirkansammal
sirohuurresammal	Cratoneuron filicinum	NT (2019)	MX.43509	sirohuurresammal
kalkkipalmikkosammal	Drepanium fastigiatum	LC (2019)	MX.43678	kalkkipalmikkosammal
luhtasirppisammal	Drepanocladus aduncus	LC (2019)	MX.43576	luhtasirppisammal
pohjanjalosammal	Drepanocladus angustifolius	NT (2019)	MX.200495	pohjanjalosammal
hiussirppisammal	Drepanocladus capillifolius	LC (2019)	MX.43577	hiussirppisammal
kalkkijalosammal	Drepanocladus lycopodioides	VU (2019)	MX.200496	kalkkijalosammal
väkäsirppisammal	Drepanocladus polygamus	LC (2019)	MX.43578	väkäsirppisammal
kalkkisirppisammal	Drepanocladus sendtneri	EN (2019)	MX.43579	kalkkisirppisammal
upossirppisammal	Drepanocladus sordidus	LC (2019)	MX.43581	upossirppisammal
matosammal	Drepanocladus trifarius	LC (2019)	MX.200515	matosammal
lännenjalosammal	Drepanocladus turgescens	EN (2019)	MX.200497	lännenjalosammal
koskisammakonsammal	Hygroamblystegium fluviatile	LC (2019)	MX.200531	koskisammakonsammal
luhtasammakonsammal	Hygroamblystegium humile	DD (2019)	MX.200507	luhtasammakonsammal
suippusammakonsammal	Hygroamblystegium tenax	EN (2019)	MX.200508	suippusammakonsammal
notkosammakonsammal	Hygroamblystegium varium	DD (2019)	MX.200488	notkosammakonsammal
kalkkipurosammal	Hygrohypnum luridum	LC (2019)	MX.43661	kalkkipurosammal
kurupurosammal	Hygrohypnum styriacum		MX.5082106	kurupurosammal
saukonsammal	Leptodictyum riparium	LC (2019)	MX.43690	saukonsammal
kalkkihuurresammal	Palustriella commutata	EN (2019)	MX.43753	kalkkihuurresammal
pohjanhuurresammal	Palustriella decipiens	NT (2019)	MX.43754	pohjanhuurresammal
sirppihuurresammal	Palustriella falcata	NT (2019)	MX.43755	sirppihuurresammal
pohjanpurosammal	Platyhypnum alpestre	LC (2019)	MX.43657	pohjanpurosammal
tunturipurosammal	Platyhypnum alpinum	EN (2019)	MX.43658	tunturipurosammal
rusopurosammal	Platyhypnum cochlearifolium	EN (2019)	MX.43659	rusopurosammal
rosopurosammal	Platyhypnum duriusculum	LC (2019)	MX.43660	rosopurosammal
lapinpurosammal	Platyhypnum molle	VU (2019)	MX.43662	lapinpurosammal
pikkupurosammal	Platyhypnum norvegicum	VU (2019)	MX.43663	pikkupurosammal
kilpipurosammal	Platyhypnum smithii	LC (2019)	MX.43665	kilpipurosammal
siroritvasammal	Pseudoamblystegium subtile	NT (2019)	MX.214625	siroritvasammal
notkoritvasammal	Pseudocampylium radicale	VU (2019)	MX.213011	notkoritvasammal
kultasammal	Tomentypnum nitens	LC (2019)	MX.44102	kultasammal
tunturikultasammal	Tomentypnum involutum		MX.5104464	tunturikultasammal
pikkuruostesammal	Anomodon longifolius	LC (2019)	MX.43793	pikkuruostesammal
etelänruostesammal	Anomodon rugelii	CR (2019)	MX.43794	etelänruostesammal
isoruostesammal	Anomodon viticulosus	LC (2019)	MX.43795	isoruostesammal
norkkusammal	Antitrichia curtipendula	LC (2019)	MX.43796	norkkusammal
naalinsuikerosammal	Brachytheciastrum collinum	EN (2019)	MX.200476	naalinsuikerosammal
pahtasuikerosammal	Brachytheciastrum trachypodium	VU (2019)	MX.200464	pahtasuikerosammal
sirosuikerosammal	Brachytheciastrum velutinum	LC (2019)	MX.200443	sirosuikerosammal
ahosuikerosammal	Brachythecium albicans	LC (2019)	MX.43813	ahosuikerosammal
hakasuikerosammal	Brachythecium campestre	CR (2019)	MX.43814	hakasuikerosammal
vuorisuikerosammal	Brachythecium cirrosum	CR (2019)	MX.200444	vuorisuikerosammal
ryppysuikerosammal	Brachythecium erythrorrhizon	LC (2019)	MX.43816	ryppysuikerosammal
kalkkisuikerosammal	Brachythecium glareosum	LC (2019)	MX.43818	kalkkisuikerosammal
nurmisuikerosammal	Brachythecium mildeanum	LC (2019)	MX.43820	nurmisuikerosammal
	Brachythecium mildeanum var. mildeanum	LC (2019)	MX.325003	
purosuikerosammal	Brachythecium rivulare	LC (2019)	MX.43825	purosuikerosammal
lehtosuikerosammal	Brachythecium rutabulum	LC (2019)	MX.43826	lehtosuikerosammal
kiiltosuikerosammal	Brachythecium salebrosum	LC (2019)	MX.43827	kiiltosuikerosammal
poronsuikerosammal	Brachythecium tauriscorum	CR (2019)	MX.200445	poronsuikerosammal
etelänsuikerosammal	Brachythecium tommasinii	CR (2019)	MX.200494	etelänsuikerosammal
kultasuikerosammal	Brachythecium turgidum	LC (2019)	MX.43830	kultasuikerosammal
ahmansuikerosammal	Brachythecium udum		MX.313280	ahmansuikerosammal
lehtohaivensammal	Cirriphyllum piliferum	LC (2019)	MX.43500	lehtohaivensammal
lieronokkasammal	Eurhynchiastrum diversifolium		MX.5082107	lieronokkasammal
pikkunokkasammal	Eurhynchiastrum pulchellum	LC (2019)	MX.200492	pikkunokkasammal
lehtonokkasammal	Eurhynchium angustirete	LC (2019)	MX.43597	lehtonokkasammal
isonokkasammal	Eurhynchium striatum	EN (2019)	MX.43602	isonokkasammal
silkkikutrisammal	Homalothecium lutescens	NT (2019)	MX.43654	silkkikutrisammal
kivikutrisammal	Homalothecium sericeum	LC (2019)	MX.43655	kivikutrisammal
sulkanokkasammal	Kindbergia praelonga	EN (2019)	MX.200489	sulkanokkasammal
rikkanokkasammal	Oxyrrhynchium hians sensu lato	LC (2019)	MX.200455	rikkanokkasammal
	Oxyrrhynchium hians	LC (2019)	MX.5111246	
	Oxyrrhynchium swartzii	LC (2019)	MX.5111247	
tursonsammal	Oxyrrhynchium speciosum	LC (2019)	MX.313320	tursonsammal
lammassammal	Pseudoscleropodium purum	NT (2019)	MX.43950	lammassammal
hietarensusammal	Rhynchostegium megapolitanum	CR (2019)	MX.200486	hietarensusammal
kalkkirensusammal	Rhynchostegium murale	EN (2019)	MX.313496	kalkkirensusammal
ahdinsammal	Rhynchostegium riparioides	NT (2019)	MX.43898	ahdinsammal
metsäsuikerosammal	Sciuro-hypnum curtum	LC (2019)	MX.214713	metsäsuikerosammal
kerosuikerosammal	Sciuro-hypnum dovrense	CR (2019)	MX.200523	kerosuikerosammal
tunturisuikerosammal	Sciuro-hypnum glaciale	EN (2019)	MX.200524	tunturisuikerosammal
sopulinsuikerosammal	Sciuro-hypnum latifolium	NT (2019)	MX.200525	sopulinsuikerosammal
rantasuikerosammal	Sciuro-hypnum plumosum	LC (2019)	MX.200498	rantasuikerosammal
haapasuikerosammal	Sciuro-hypnum populeum	LC (2019)	MX.200516	haapasuikerosammal
koukkusuikerosammal	Sciuro-hypnum reflexum	LC (2019)	MX.200506	koukkusuikerosammal
kantosuikerosammal	Sciuro-hypnum starkei	LC (2019)	MX.200467	kantosuikerosammal
kiirunansuikerosammal	Sciuro-hypnum tromsoeense	NT (2019)	MX.200479	kiirunansuikerosammal
purokatvesammal	Callicladium haldanianum	NT (2019)	MX.43479	purokatvesammal
etelänkatvesammal	Callicladium imponens	LC (2019)	MX.43676	etelänkatvesammal
luhtakuirisammal	Calliergon cordifolium	LC (2019)	MX.43480	luhtakuirisammal
hetekuirisammal	Calliergon giganteum	LC (2019)	MX.43481	hetekuirisammal
järvikuirisammal	Calliergon megalophyllum	LC (2019)	MX.43482	järvikuirisammal
lettokuirisammal	Calliergon richardsonii	LC (2019)	MX.43483	lettokuirisammal
kultasirppisammal	Loeskypnum badium	LC (2019)	MX.43699	kultasirppisammal
hetesirppisammal	Sarmentypnum exannulatum	LC (2019)	MX.214629	hetesirppisammal
punasirppisammal	Sarmentypnum sarmentosum	LC (2019)	MX.214631	punasirppisammal
aapasirppisammal	Sarmentypnum procerum	LC (2019)	MX.43862	aapasirppisammal
lampisirppisammal	Sarmentypnum trichophyllum	LC (2019)	MX.43865	lampisirppisammal
pohjansirppisammal	Sarmentypnum tundrae	LC (2019)	MX.43866	pohjansirppisammal
kalvaskuirisammal	Straminergon stramineum	LC (2019)	MX.44078	kalvaskuirisammal
nevasirppisammal	Warnstorfia fluitans	LC (2019)	MX.43861	nevasirppisammal
tylppäsirppisammal	Warnstorfia pseudostraminea	LC (2019)	MX.43863	tylppäsirppisammal
palmusammal	Climacium dendroides	LC (2019)	MX.43502	palmusammal
hiuskoukkusammal	Dichelyma capillaceum	EN (2019)	MX.43519	hiuskoukkusammal
koskikoukkusammal	Dichelyma falcatum	LC (2019)	MX.43520	koskikoukkusammal
isonäkinsammal	Fontinalis antipyretica	LC (2019)	MX.43613	isonäkinsammal
	Fontinalis antipyretica subsp. gracilis	LC (2019)	MX.313323	
	Fontinalis antipyretica subsp. kindbergii	LC (2019)	MX.313324	
virtanäkinsammal	Fontinalis dalecarlica	LC (2019)	MX.43614	virtanäkinsammal
suvantonäkinsammal	Fontinalis dichelymoides	NT (2019)	MX.43615	suvantonäkinsammal
järvinäkinsammal	Fontinalis hypnoides	LC (2019)	MX.43616	järvinäkinsammal
kiiltonäkinsammal	Fontinalis squamosa	DD (2019)	MX.200504	kiiltonäkinsammal
mäyränsammal	Heterocladiella dimorpha	LC (2019)	MX.43652	mäyränsammal
metsäliekosammal	Hylocomiadelphus triquetrus	LC (2019)	MX.43983	metsäliekosammal
pohjankerrossammal	Hylocomiastrum pyrenaicum	LC (2019)	MX.43666	pohjankerrossammal
korpikerrossammal	Hylocomiastrum umbratum	LC (2019)	MX.43667	korpikerrossammal
metsäkerrossammal	Hylocomium splendens	LC (2019)	MX.43668	metsäkerrossammal
seinäsammal	Pleurozium schreberi	LC (2019)	MX.43901	seinäsammal
lännenliekosammal	Rhytidiadelphus loreus	LC (2019)	MX.43980	lännenliekosammal
niittyliekosammal	Rhytidiadelphus squarrosus	LC (2019)	MX.43981	niittyliekosammal
korpiliekosammal	Rhytidiadelphus subpinnatus	LC (2019)	MX.43982	korpiliekosammal
nuorapalmikkosammal	Hypnum andoi	LC (2019)	MX.43670	nuorapalmikkosammal
kalliopalmikkosammal	Hypnum cupressiforme	LC (2019)	MX.43673	kalliopalmikkosammal
pikkupalmikkosammal	Jochenia pallescens	LC (2019)	MX.43677	pikkupalmikkosammal
rotanhäntäsammal	Isothecium alopecuroides	LC (2019)	MX.43683	rotanhäntäsammal
hiirenhäntäsammal	Isothecium myosuroides	LC (2019)	MX.43684	hiirenhäntäsammal
viitasammal	Leskea polycarpa	NT (2019)	MX.43696	viitasammal
oravisammal	Leucodon sciuroides	LC (2019)	MX.43698	oravisammal
	Leucodon sciuroides var. morensis	LC (2019)	MX.317046	
	Leucodon sciuroides var. sciuroides	LC (2019)	MX.317047	
tulvasammal	Myrinia pulvinata	NT (2019)	MX.43715	tulvasammal
höyhensammal	Ctenidium molluscum	VU (2019)	MX.43510	höyhensammal
koloriippusammal	Alleniella besseri	VU (2019)	MX.43718	koloriippusammal
siloriippusammal	Alleniella complanata	LC (2019)	MX.43719	siloriippusammal
isoriippusammal	Exsertotheca crispa	VU (2019)	MX.43720	isoriippusammal
viuhkasammal	Homalia trichomanoides	LC (2019)	MX.43653	viuhkasammal
ryppyriippusammal	Neckera oligocarpa	LC (2019)	MX.43721	ryppyriippusammal
haapariippusammal	Neckera pennata	VU (2019)	MX.43722	haapariippusammal
lännenriippusammal	Neckera pumila	CR (2019)	MX.200481	lännenriippusammal
taljaruostesammal	Pseudanomodon attenuatus	LC (2019)	MX.43792	taljaruostesammal
luutasammal	Thamnobryum alopecurum	VU (2019)	MX.44092	luutasammal
kantohohtosammal	Herzogiella seligeri	LC (2019)	MX.43649	kantohohtosammal
loukkohohtosammal	Herzogiella striatella	LC (2019)	MX.43650	loukkohohtosammal
korpihohtosammal	Herzogiella turfacea	VU (2019)	MX.43651	korpihohtosammal
pohjankiiltosammal	Isopterygiopsis alpicola	CR (2019)	MX.43681	pohjankiiltosammal
pikkukiiltosammal	Isopterygiopsis pulchella	LC (2019)	MX.43682	pikkukiiltosammal
kultapahtasammal	Orthothecium chryseon	VU (2019)	MX.43728	kultapahtasammal
pikkupahtasammal	Orthothecium intricatum	NT (2019)	MX.43729	pikkupahtasammal
lapinpahtasammal	Orthothecium lapponicum	EN (2019)	MX.43730	lapinpahtasammal
rusopahtasammal	Orthothecium rufescens	VU (2019)	MX.43731	rusopahtasammal
silopahtasammal	Orthothecium strictum	NT (2019)	MX.43732	silopahtasammal
limisiimasammal	Myurella julacea	LC (2019)	MX.43716	limisiimasammal
otasiimasammal	Myurella tenerrima	NT (2019)	MX.43717	otasiimasammal
kourulaakasammal	Plagiothecium cavifolium	LC (2019)	MX.43885	kourulaakasammal
kaarilaakasammal	Plagiothecium curvifolium	LC (2019)	MX.43886	kaarilaakasammal
kivilaakasammal	Plagiothecium denticulatum		MX.43887	kivilaakasammal
	Plagiothecium denticulatum var. denticulatum	LC (2019)	MX.214510	
lehtolaakasammal	Plagiothecium denticulatum var. undulatum	LC (2019)	MX.214511	lehtolaakasammal
töppölaakasammal	Plagiothecium denticulatum var. obtusifolium	NE (2019)	MX.325008	töppölaakasammal
kantolaakasammal	Plagiothecium laetum	LC (2019)	MX.43888	kantolaakasammal
lepikkolaakasammal	Plagiothecium latebricola	NT (2019)	MX.43889	lepikkolaakasammal
